NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,canonical_smiles,scaffold
0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6612,CC(C)COC(=O)C(C)C,CC(C)COC(=O)C(C)C,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOC(=O)C(=C)C,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TOX14833,O=C([O-])Cc1cccc2ccccc12,O=C([O-])Cc1cccc2ccccc12,c1ccc2ccccc2c1
0.0,0.0,0.0,,0.0,,,,,0.0,,,TOX26529,CCCCCCCCCCOCC(O)CN,CCCCCCCCCCOCC(O)CN,
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,TOX26524,CCN(CC)C(=O)c1cccnc1,CCN(CC)C(=O)c1cccnc1,c1ccncc1
0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,TOX26525,COc1cc(O)cc(O)c1,COc1cc(O)cc(O)c1,c1ccccc1
,,,,,,,0.0,,0.0,,,TOX26526,CCOC(=O)c1cccnc1,CCOC(=O)c1cccnc1,c1ccncc1
0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12,CCOc1ccc(S(=O)(=O)O)c2cccnc12,c1ccc2ncccc2c1
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26523,O=C(O)[C@H](O)c1ccccc1,O=C(O)[C@H](O)c1ccccc1,c1ccccc1
0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1,Nc1ccc(/N=N/c2ccccc2)cc1,c1ccc(/N=N/c2ccccc2)cc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)N2)c1ccccc1
0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,c1ccc2c(c1)CCc1ccccc1N2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1883,C#CCO,C#CCO,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX4463,Nc1ccccc1S(=O)(=O)O,Nc1ccccc1S(=O)(=O)O,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1885,CC(O)CC(C)(C)O,CC(O)CC(C)(C)O,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1886,CC(C)(C)CC(C)(C)N,CC(C)(C)CC(C)(C)N,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1889,CC(=O)CC(C)C,CC(=O)CC(C)C,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1888,CCCC(C)=O,CCCC(C)=O,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4465,Nc1nc2ccccc2[nH]1,Nc1nc2ccccc2[nH]1,c1ccc2[nH]cnc2c1
0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX161,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1
0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,CNC(=O)Nc1ccc(Cl)c(Cl)c1,c1ccccc1
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,CC(=O)Nc1ccc(C)c(Cl)c1,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX22187,CCCCNC(=S)NCCCC,CCCCNC(=S)NCCCC,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22188,CCCCNC(=O)NCCCC,CCCCNC(=O)NCCCC,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22189,CC(C)N(c1ccccc1)C(C)C,CC(C)N(c1ccccc1)C(C)C,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7876,CCc1cccc(C)c1,CCc1cccc(C)c1,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,c1ccccc1
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,CCCCCCCCCCC=CC1CC(=O)OC1=O,O=C1CCC(=O)O1
0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,,TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],c1ccc(Oc2ccccc2)cc1
0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4113,CCOP(=S)(CC)Sc1ccccc1,CCOP(=S)(CC)Sc1ccccc1,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27698,CC/C=C\CCCCO,CC/C=C\CCCCO,
,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,TOX27695,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,O=C(Oc1ccc2ccccc2c1)c1ccccc1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,c1ccc2c(C[C@@H]3CC4CCN3CC4)ccnc2c1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX10138,CC(=O)CCC(C)=O,CC(=O)CCC(C)=O,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21464,N#CCCNCCC#N,N#CCCNCCC#N,
0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1
0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,c1ccc2c(c1)CC(N1CCNCC1)c1ccccc1S2
0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27071,Cc1ccccc1CCO,Cc1ccccc1CCO,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27070,Cc1nc(C)c(C)nc1C,Cc1nc(C)c(C)nc1C,c1cnccn1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27072,CC1=CC(O)CC(C)(C)C1,CC1=CC(O)CC(C)(C)C1,C1=CCCCC1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27075,Cc1cnc(C)c(C)n1,Cc1cnc(C)c(C)n1,c1cnccn1
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27074,CC(C)COC(=O)c1ccccc1,CC(C)COC(=O)c1ccccc1,c1ccccc1
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)[C@@H]1CC=C(C)CC1,C1=CCCCC1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],
0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,TOX957,Nc1ccc(N)c([N+](=O)[O-])c1,Nc1ccc(N)c([N+](=O)[O-])c1,c1ccccc1
0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24915,CC1COc2ccccc2N1,CC1COc2ccccc2N1,c1ccc2c(c1)NCCO2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,O=C(O)c1cc(Cl)cc(Cl)c1O,c1ccccc1
0.0,,0.0,,,,,,0.0,,,,TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,CCCCCCCCCCCC(=O)NCCCN(C)C,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24911,CC(C)CCCCCOC(=O)CCS,CC(C)CCCCCOC(=O)CCS,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,C=CCOc1c(Br)cc(Br)cc1Br,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX9739,F[B-](F)(F)F.[H+],F[B-](F)(F)F.[H+],
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,C1CCCCC1
0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX6050,C(=C/c1ccccc1)\c1ccccc1,C(=C/c1ccccc1)\c1ccccc1,C(=C/c1ccccc1)\c1ccccc1
0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX5649,Cc1ccc2c(ccc3ccccc32)c1,Cc1ccc2c(ccc3ccccc32)c1,c1ccc2c(c1)ccc1ccccc12
0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,TOX2967,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1
,,,,,,,0.0,,0.0,,,TOX2611,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,O=C1c2ccccc2C(=O)C1c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],Cc1ccc(C(=O)O)cc1[N+](=O)[O-],c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],Cc1cc(C(=O)O)ccc1[N+](=O)[O-],c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27158,CCCCCC(C)O,CCCCCC(C)O,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX1708,O=C([O-])c1ccccc1O,O=C([O-])c1ccccc1O,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1709,NC(=O)c1ccccc1,NC(=O)c1ccccc1,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,O=C1CNC(=O)N1
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX25755,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,c1ccccc1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,TOX958,Nc1ccc([N+](=O)[O-])cc1N,Nc1ccc([N+](=O)[O-])cc1N,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX14836,[I-].[K+],[I-].[K+],
0.0,,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,TOX18317,Oc1nc(Cl)c(Cl)cc1Cl,Oc1nc(Cl)c(Cl)cc1Cl,c1ccncc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX5391,C/C=C/C=C/C=O,C/C=C/C=C/C=O,
1.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0,TOX4781,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,c1ccccc1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5395,C[Si](C)(C)N[Si](C)(C)C,C[Si](C)(C)N[Si](C)(C)C,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX4783,C=CC(=O)OCCCl,C=CC(=O)OCCCl,
0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,TOX12376,COCC(C)N(C(=O)CCl)c1c(C)csc1C,COCC(C)N(C(=O)CCl)c1c(C)csc1C,c1ccsc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX25538,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,O=C(Cc1cscn1)N[C@@H]1C(=O)N2C=C(CSc3nnn[nH]3)CS[C@H]12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,O=S1(=O)CCCc2ccsc21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,O=S1(=O)NCCc2ccsc21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,c1ccc(Cc2ccccn2)cc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,TOX25537,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,c1ccc2c(c1)N[C@H]1[C@@H]3C[C@H]4CCN3[C@H]3C[C@@]21CC43
1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,TOX25534,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX12379,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,c1ccncc1
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX28632,O=C(O)/C=C(\CC(=O)O)C(=O)O,O=C(O)/C=C(\CC(=O)O)C(=O)O,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX28633,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,C1=C(/C=C/C=C/C=C/C=C/C=C\C=C\C=C\C=C\C=C\C2=CCCCC2)CCCC1
,,,,,,,0.0,,0.0,,,TOX28630,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,
,,,,,,,0.0,,0.0,,,TOX28636,CNCC(=O)c1ccc(O)c(O)c1,CNCC(=O)c1ccc(O)c(O)c1,c1ccccc1
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX24394,CC(C)(C)C1CCC(=O)CC1,CC(C)(C)C1CCC(=O)CC1,O=C1CCCCC1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX3568,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,O=C(NCN1CCCC1)C1=CC[C@@H]2CC3Cc4ccccc4C(=O)C3=CC2C1=O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX28635,CCCCC(=O)[O-],CCCCC(=O)[O-],
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7019,CCCCCCCCCCCCCC(=O)OC,CCCCCCCCCCCCCC(=O)OC,
,,,,,,,0.0,,0.0,,,TOX26715,Nc1ccncc1N,Nc1ccncc1N,c1ccncc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7014,CCCCCCC(C)O,CCCCCCC(C)O,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22494,CCC[Si](OC)(OC)OC,CCC[Si](OC)(OC)OC,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27088,CC1=C(CC=O)C(C)(C)CCC1,CC1=C(CC=O)C(C)(C)CCC1,C1=CCCCC1
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX3702,NCCNCCNCCN,NCCNCCNCCN,
0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX4280,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,c1ccc(C2(Cn3cncn3)OCCO2)cc1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,TOX4930,Cc1ccc(N)c(N)c1,Cc1ccc(N)c(N)c1,c1ccccc1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4931,CCCCCNCCCCC,CCCCCNCCCCC,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4284,COCC(C)O,COCC(C)O,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4287,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,O=C1CN=C(c2ccccn2)N1
,,,,,,,,,0.0,,,TOX25914,NCC(=O)CCC(=O)O,NCC(=O)CCC(=O)O,
